Udate,Close,High,Low,Open,Volume,Field7,LDate,LTime,pCalcIndx
1441027860,147.16,147.49,147,147.38,72222,,8/31/2015,42247.35486,42247.35486
1441027920,147.24,147.26,147.145,147.19,862,,8/31/2015,42247.35556,42247.35556
1441027980,147.04,147.33,147.04,147.3,5862,,8/31/2015,42247.35625,42247.35625
1441028040,147.132,147.132,147,147.11,6781,,8/31/2015,42247.35694,42247.35694
1441028100,146.8,147.13,146.8,147.1,7748,,8/31/2015,42247.35764,42247.35764
1441028160,146.75,146.782,146.66,146.78,2287,,8/31/2015,42247.35833,42247.35833
1441028220,146.88,146.91,146.745,146.78,2900,,8/31/2015,42247.35903,42247.35903
1441028280,146.96,147.0799,146.88,146.97,17607,,8/31/2015,42247.35972,42247.35972
1441028340,146.9,147.01,146.84,146.96,5840,,8/31/2015,42247.36042,42247.36042
1441028400,146.79,146.84,146.66,146.84,18679,,8/31/2015,42247.36111,42247.36111
1441028460,146.72,146.77,146.6,146.74,8379,,8/31/2015,42247.36181,42247.36181
1441028520,146.68,146.78,146.68,146.77,825,,8/31/2015,42247.3625,42247.3625
1441028580,146.67,146.798,146.67,146.68,4812,,8/31/2015,42247.36319,42247.36319
1441028640,146.66,146.735,146.66,146.67,3277,,8/31/2015,42247.36389,42247.36389
1441028700,146.65,146.76,146.62,146.63,2666,,8/31/2015,42247.36458,42247.36458
1441028760,146.61,146.76,146.59,146.65,14147,,8/31/2015,42247.36528,42247.36528
1441028820,146.77,146.77,146.61,146.68,12710,,8/31/2015,42247.36597,42247.36597
1441028880,146.7224,146.82,146.7,146.78,5152,,8/31/2015,42247.36667,42247.36667
1441028940,146.77,146.8,146.67,146.7438,5252,,8/31/2015,42247.36736,42247.36736
1441029000,146.67,146.8,146.59,146.77,8176,,8/31/2015,42247.36806,42247.36806
1441029060,146.75,146.78,146.63,146.68,6098,,8/31/2015,42247.36875,42247.36875
1441029120,146.75,146.82,146.74,146.74,7098,,8/31/2015,42247.36944,42247.36944
1441029180,146.89,146.89,146.74,146.75,11179,,8/31/2015,42247.37014,42247.37014
1441029240,146.85,146.89,146.7,146.86,16863,,8/31/2015,42247.37083,42247.37083
1441029300,146.94,146.95,146.76,146.82,14749,,8/31/2015,42247.37153,42247.37153
1441029360,146.95,146.96,146.83,146.95,8872,,8/31/2015,42247.37222,42247.37222
1441029420,146.9,146.96,146.82,146.92,8320,,8/31/2015,42247.37292,42247.37292
1441029480,146.9424,146.96,146.84,146.87,12700,,8/31/2015,42247.37361,42247.37361
1441029540,146.92,146.98,146.87,146.93,18114,,8/31/2015,42247.37431,42247.37431
1441029600,146.85,146.92,146.75,146.91,16817,,8/31/2015,42247.375,42247.375
1441029660,146.62,146.83,146.51,146.83,14827,,8/31/2015,42247.37569,42247.37569
1441029720,146.71,146.71,146.57,146.61,6950,,8/31/2015,42247.37639,42247.37639
1441029780,146.705,146.75,146.69,146.69,3210,,8/31/2015,42247.37708,42247.37708
1441029840,146.65,146.68,146.595,146.68,3909,,8/31/2015,42247.37778,42247.37778
1441029900,146.59,146.68,146.59,146.68,2600,,8/31/2015,42247.37847,42247.37847
1441029960,146.556,146.65,146.54,146.56,5108,,8/31/2015,42247.37917,42247.37917
1441030020,146.62,146.6381,146.53,146.55,1950,,8/31/2015,42247.37986,42247.37986
1441030080,146.79,146.81,146.68,146.68,4014,,8/31/2015,42247.38056,42247.38056
1441030140,146.8,146.8498,146.77,146.77,5237,,8/31/2015,42247.38125,42247.38125
1441030200,146.68,146.81,146.68,146.81,6372,,8/31/2015,42247.38194,42247.38194
1441030260,146.6988,146.79,146.67,146.72,5638,,8/31/2015,42247.38264,42247.38264
1441030320,146.74,146.75,146.64,146.69,11727,,8/31/2015,42247.38333,42247.38333
1441030380,146.71,146.715,146.64,146.715,3155,,8/31/2015,42247.38403,42247.38403
1441030440,146.73,146.77,146.71,146.72,1400,,8/31/2015,42247.38472,42247.38472
1441030500,146.81,146.82,146.73,146.73,3053,,8/31/2015,42247.38542,42247.38542
1441030560,146.78,146.82,146.71,146.82,4974,,8/31/2015,42247.38611,42247.38611
1441030620,146.73,146.7799,146.73,146.73,1450,,8/31/2015,42247.38681,42247.38681
1441030680,146.73,146.85,146.73,146.76,2788,,8/31/2015,42247.3875,42247.3875
1441030740,146.66,146.76,146.62,146.73,6600,,8/31/2015,42247.38819,42247.38819
1441030800,146.72,146.72,146.57,146.64,2635,,8/31/2015,42247.38889,42247.38889
1441030860,146.7,146.7,146.63,146.68,2959,,8/31/2015,42247.38958,42247.38958
1441030920,146.73,146.7899,146.7099,146.7099,2624,,8/31/2015,42247.39028,42247.39028
1441030980,146.68,146.743,146.66,146.72,4860,,8/31/2015,42247.39097,42247.39097
1441031040,146.61,146.7,146.61,146.7,2232,,8/31/2015,42247.39167,42247.39167
1441031100,146.69,146.71,146.65,146.66,3100,,8/31/2015,42247.39236,42247.39236
1441031160,146.68,146.695,146.63,146.68,1998,,8/31/2015,42247.39306,42247.39306
1441031220,146.7,146.75,146.6612,146.6612,4698,,8/31/2015,42247.39375,42247.39375
1441031280,146.72,146.7412,146.71,146.73,2670,,8/31/2015,42247.39444,42247.39444
1441031340,146.698,146.77,146.67,146.76,18447,,8/31/2015,42247.39514,42247.39514
1441031400,146.75,146.89,146.68,146.68,9802,,8/31/2015,42247.39583,42247.39583
1441031460,146.81,146.81,146.7004,146.74,6030,,8/31/2015,42247.39653,42247.39653
1441031520,146.78,146.83,146.75,146.76,1100,,8/31/2015,42247.39722,42247.39722
1441031580,146.74,146.79,146.74,146.79,1800,,8/31/2015,42247.39792,42247.39792
1441031640,146.72,146.8,146.71,146.73,4727,,8/31/2015,42247.39861,42247.39861
1441031700,146.71,146.74,146.66,146.72,2600,,8/31/2015,42247.39931,42247.39931
1441031760,146.72,146.76,146.68,146.76,1519,,8/31/2015,42247.4,42247.4
1441031820,146.78,146.84,146.69,146.69,9535,,8/31/2015,42247.40069,42247.40069
1441031880,146.8301,146.855,146.76,146.8199,3422,,8/31/2015,42247.40139,42247.40139
1441031940,146.95,146.95,146.84,146.88,4322,,8/31/2015,42247.40208,42247.40208
1441032000,146.99,146.99,146.9366,146.97,1497,,8/31/2015,42247.40278,42247.40278
