OptionSymbol,Expiry,Strike,OptionType,UnderlyingPrice,StockSymbol
AAPL151009C00108000,09-Oct-15,108,C,109.42,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.43,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.46,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.51,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.52,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.53,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.54,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.55,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.56,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.57,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.58,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.59,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.6,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.61,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.62,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.63,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.64,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.65,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.66,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.67,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.68,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.69,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.7,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.71,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.72,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.73,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.74,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.75,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.76,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.79,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.8,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.81,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.84,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.85,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.86,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.87,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.88,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.89,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.9,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.91,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.92,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.93,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.94,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.95,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.96,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.97,AAPL
AAPL151009C00108000,09-Oct-15,108,C,109.99,AAPL
AAPL151009C00108000,09-Oct-15,108,C,110,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.42,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.43,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.46,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.51,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.52,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.53,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.54,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.55,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.56,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.57,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.58,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.59,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.6,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.61,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.62,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.63,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.64,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.65,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.66,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.67,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.68,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.69,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.7,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.71,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.72,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.73,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.74,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.75,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.76,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.79,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.8,AAPL
AAPL151009C00109000,09-Oct-15,109,C,109.81,AAPL
